,y,r
0,0,1
1,1,1
2,0,0
3,1,0
4,0,0
5,0,0
6,0,0
7,1,1
8,1,0
9,0,1
10,1,1
11,0,0
12,1,1
13,0,1
14,1,1
15,0,0
16,1,1
17,0,1
18,1,1
19,0,1
20,1,0
21,0,0
22,1,0
23,0,1
24,1,1
25,0,0
26,1,0
27,0,1
28,1,0
29,0,0
30,1,0
31,0,0
32,1,1
33,0,0
34,1,1
35,0,0
36,0,1
37,1,1
38,1,0
39,1,0
40,0,0
41,0,0
42,0,0
43,0,1
44,0,0
45,1,0
46,1,1
47,0,0
48,1,1
49,0,0
50,1,0
51,0,0
52,1,0
53,0,1
54,1,1
55,0,0
56,1,1
57,0,0
58,1,0
59,0,0
60,0,0
61,1,0
62,1,1
63,0,0
64,1,0
65,1,1
66,1,0
67,1,0
68,0,0
69,0,0
70,1,0
71,0,0
72,1,0
73,0,0
74,1,1
75,0,1
76,1,1
77,0,0
78,1,0
79,0,0
80,1,0
81,1,0
82,1,1
83,0,0
84,0,0
85,0,1
86,1,0
87,0,0
88,0,1
89,1,1
90,0,0
91,1,1
92,0,0
93,1,1
94,0,0
95,1,1
96,0,1
97,1,0
98,0,0
99,1,1
