,y,r
0,1,0
1,0,1
2,0,1
3,0,1
4,0,0
5,1,0
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,0
13,1,1
14,1,0
15,0,0
16,0,0
17,0,0
18,1,0
19,1,0
20,1,0
21,0,0
22,1,1
23,1,0
24,0,0
25,0,1
26,0,1
27,0,1
28,0,0
29,1,1
30,1,0
31,0,1
32,0,0
33,1,0
34,0,0
35,1,1
36,1,0
37,0,0
38,0,0
39,1,1
40,1,0
41,1,0
42,0,0
43,1,0
44,0,1
45,0,0
46,1,1
47,1,1
48,1,1
49,1,1
50,1,0
51,0,0
52,1,0
53,0,0
54,1,1
55,1,1
56,0,0
57,1,1
58,1,1
59,1,1
60,1,0
61,0,1
62,0,0
63,1,1
64,1,1
65,1,0
66,0,1
67,0,0
68,1,1
69,1,0
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,0
76,1,1
77,1,1
78,1,1
79,1,1
80,1,0
81,0,1
82,0,0
83,1,1
84,1,0
85,0,1
86,0,0
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,0,0
93,1,1
94,1,1
95,1,0
96,0,0
97,1,1
98,1,0
99,0,0
